metro_key,label,status,n_cells_qualified,median_top_score,max_score
singapore,Singapore (metro),ok,493,1.7409248362911272,1.9280960106712675
san_francisco,San Francisco (city/county),ok,150,1.654056206570421,2.072751571018618
sydney,Sydney,ok,659,1.5282140687281478,1.920945945208993
silicon_valley,Silicon Valley (Santa Clara Valley),ok,448,1.506018082601009,1.7827610411421542
seoul,Seoul (metro),ok,907,1.461694442284774,1.6080347539849098
saigon,Ho Chi Minh City (metro),ok,182,1.1316599312178968,1.4322068880067675
